id	x	y	z	longitude	latitude
97317	16.44183471117854	-12.554275513142294	60.56448	-37.363791591483846	71.14154825133387
97330	18.709765296240434	-8.71048690402535	60.58112	-24.964724241976057	71.18769009368523
97338	14.565185493654369	-14.578836197921976	60.59136	-45.02683664227936	71.2161393669488
97351	17.314564420123073	-11.084953538080725	60.608	-32.62776929277163	71.2624582326321
97359	12.443059215698774	-16.327867486509493	60.61824	-52.689881693074085	71.2910170961719
97372	15.62121564910304	-13.243449287471075	60.63488	-40.29081434356635	71.33751511831429
97385	18.056886490756625	-9.557299406711678	60.65152	-27.89174699405845	71.38412513449941
97393	13.662318689454356	-15.14899078256324	60.66176	-47.95385939436102	71.41286425244189
97406	16.556127684598014	-11.833275519960083	60.6784	-35.55479204485317	71.45965697002333
97427	14.771803147316588	-13.880303018973601	60.70528	-43.21783709564875	71.53548687429466
97440	17.364777107935403	-10.359196276995775	60.72192	-30.81876974614096	71.58258018009083
97448	12.738081922300434	-15.663524848359083	60.73216	-50.88088214644421	71.61161853860852
97461	15.76500126382589	-12.531880693318454	60.7488	-38.48181479693642	71.65890053131075
97474	18.042988403067074	-8.832432909068007	60.76544	-26.08274744742863	71.70630051544717
97482	13.896819010582924	-14.463579844723803	60.77568	-46.14485984773114	71.73552878143995
97495	16.63631509040858	-11.114263323776525	60.79232	-33.74579249822335	71.78312131668126
97503	11.795834741334243	-16.121630817058566	60.80256	-53.80790489852586	71.81246882603357
97516	14.944293443187386	-13.179264199639771	60.8192	-41.40883754901802	71.86025636493764
97529	17.38109215064452	-9.638371602361241	60.83584	-29.00977019951023	71.90816587217745
97537	12.999544150975309	-14.99221132790102	60.84608	-49.071882599813534	71.93770969002536
97550	15.874476400846012	-11.820757725314511	60.86272	-36.672815250305746	71.98581828284713
97563	17.995650278651176	-8.115423404781906	60.87936	-24.273747900797957	72.03405141467177
97571	14.0971865300751	-13.774104100676343	60.8896	-44.33586030110126	72.0637956786393
97584	16.68225938067922	-10.39866102044588	60.90624	-31.936792951593475	72.11223212122263
